"タイムスタンプ","被験者番号をご記入ください","性別","年齢","利き手","マウスを持つときの利き手","視力","コンピューターを1日に平均して何時間使用しますか？","主なコンピューター使用用途（仕事、プライベート問わず）を教えてください。 ","自身のコンピュータースキルレベルを評価してください。","普段の使用OS","ペイントソフトや画像編集ソフトを月に何回使用しますか？","以下のショートカットについて知っているものをすべて選択してください。","ペイントソフトの起動が完了したら、チェックして「次へ」をクリックしてください。","ツールの使用が完了したら、チェックして「次へ」をクリックしてください。","戻ると進むの確認が完了したら 、チェックして「次へ」をクリックしてください。","名前を付けて保存が完了したら 、チェックして「次へ」をクリックしてください。","ペイントソフトの終了が完了したら 、チェックして「次へ」をクリックしてください。","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 ","タスク内容をどの程度正確に記憶しているか自己評価してください。","ペイントソフトの機能メニュー項目やボタンをどの程度正確に記憶しているか自己評価してください。","どの程度今回のタスクを上手くできたか、自己評価してください。","タスク中に生じた問題があれば、記述してください。 ","感想やコメントがあれば、記述してください。 "
"2024/12/07 3:58:51 午後 GMT+9","01","男性","28","右手","右手","1.0","6","研究に関すること","3","Windows","1","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","3","2","flowers.jpg ファイルがない","","3","5","4","","","3","4","4","","","3","5","4","","","4","5","5","","","4","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/10 7:50:41 午後 GMT+9","02","女性","23","右手","右手","1.0","9.5","プログラミング","5","macOS","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","3","4","4","8.「名前を付けて保存」より「保存」をクリックしてしまいました。","","4","4","4","","","4","5","4","","","4","5","4","","","4","5","4","","","4","5","4","","","4","5","4","","","4","5","4","","","4","5","4","","","4","5","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/11 10:30:35 午前 GMT+9","03","男性","23","右手","右手","1.5","5","プログラミング","2","macOS","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","2","3","","","4","4","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","","","5","5","3","",""
"2024/12/13 10:50:20 午前 GMT+9","04","男性","21","右手","右手","07","7","動画鑑賞　勉強　アルバイトでの資料作成","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/13 1:36:52 午後 GMT+9","05","女性","21","右手","右手","1.0","3","動画鑑賞・動画編集・課題","3","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","2","5","","","4","3","5","","","4","4","4","","","5","4","4","","","5","4","4","","","4","4","5","","","5","4","4","","","5","4","5","","","5","4","5","","","5","4","5","","","5","4","5","","","5","4","5","","","5","4","5","","","5","4","5","","","5","4","5","",""
"2024/12/14 10:37:37 午前 GMT+9","06","男性","22","右手","右手","0.8","4","研究","3","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","4","3","2","","","3","3","2","Hellow World!の文字が青色になってしまったので黒に修正した","","2","3","4","よく見たら文字の色は黒ではなかったので色を変えずに書き込んだ","","4","4","5","","","4","4","4","","","4","5","5","","","4","5","5","","","5","5","5","","","4","5","5","","","5","5","5","","","5","5","2","誤って保存する前にソフトを終了させてしまった","","4","5","4","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/14 3:43:54 午後 GMT+9","07","女性","21","右手","右手","0.9","10","動画鑑賞、SNS、大学の課題、メール、OA業務など","3","Windows","1","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","3","2","3","","ストリークスタイルを探すのに少し手間取りました。","2","2","3","","","2","2","4","","","2","2","3","花のコピーがうまくできなかった","","3","2","4","","","3","3","4","","","3","3","3","","","4","3","3","","","4","3","3","","","4","3","3","","","4","3","3","","","4","4","3","","","4","3","3","","","3","3","3","","","4","4","3","",""
"2024/12/16 5:43:49 午後 GMT+9","08","男性","21","右手","右手","1.0","2","レポート、ネットゲーム","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","2","1","","","3","3","2","","少し覚えた","4","4","4","","ショートカットも少しずつ覚えてきた","5","4","4","","","5","5","4","","","4","4","4","","","5","5","5","","","5","5","5","","これ以上早くは出来ないと思った","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","4","","ミスがあった"
"2024/12/17 10:44:03 午前 GMT+9","09","男性","21","右手","右手","1.0","4.0","動画鑑賞、就職活動、研究活動","3","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","3","4","5","","","4","4","5","","","4","4","4","","","4","5","4","","","4","4","3","開始直後の操作ミスにより一度やり直しました。","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","4","","","5","5","5","","","4","5","4","","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/17 1:39:48 午後 GMT+9","10","女性","25","右手","右手","1.0","8","研究","3","Windows","2","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","4","4","2","","","4","4","4","","","4","4","4","","","4","4","4","","","5","4","4","","","3","4","4","","","4","4","4","","","4","4","4","","","4","4","5","","","4","4","3","","","4","4","4","","","4","4","5","","","4","4","4","","","4","4","4","","","4","4","4","",""
"2024/12/18 10:52:24 午前 GMT+9","11","女性","22","右手","右手","1.5","2","研究での資料作成","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","2","4","","","3","3","4","","","4","4","4","","","4","5","4","","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/18 1:44:08 午後 GMT+9","12","女性","24","右手","右手","0.8","6","研究のプログラミング・資料作成・論文を読むなど、動画鑑賞、調べもの、ネットショッピング","4","macOS","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","4","3","4","","","4","4","2","","","4","4","4","","","5","4","5","","","5","4","4","","","5","4","5","","","5","5","4","","","5","4","4","","","5","5","5","","","5","4","4","","","5","5","5","","","5","5","4","","","5","5","4","","ショートカットは使うと便利だが、「開く」ショートカットは、反応するのに時間がかかったりするので、使わないほうが結局早いように感じた。","4","5","3","","","5","5","4","",""
"2024/12/19 1:59:03 午後 GMT+9","13","女性","21","右手","右手","0.7","7","動画鑑賞、SNS利用","3","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","1","2","3","ツールアイコンを最初勘違いしている部分があった。","","3","5","4","","1回目よりだいぶスムーズにできた。","4","5","5","","","4","5","4","","","4","5","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/19 4:07:08 午後 GMT+9","14","男性","19","右手","右手","0.9","3.0","大学の授業","3","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","5","4","4","","","4","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","4","5","5","","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/19 5:35:51 午後 GMT+9","15","女性","23","右手","右手","1.0","0.5","授業のレジュメの閲覧","1","Windows","0","いずれも知らない","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","3","4","","","3","4","4","","","4","4","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","3","タスク８まで終了して保存した後、終了するときに一つ上の項目をクリックしてしまい、変更がなされたと思われ、閉じるときに変更を保存しますかと聞かれた際にキャンセルして閉じてしまいました。","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/22 12:29:07 午後 GMT+9","16","男性","21","右手","右手","1.0","6","Notionを使ったタスク管理、読書メモ、考え事、授業ノート作成","4","Windows","5","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","4","4","","描き方を「/」に変更するところが、画面下部と説明されていないし、大きさも指定されていないのが急に不親切だと思った。","3","4","4","","","4","5","5","","タスクの指示にはショートカットのコマンドを使ってよいと書いていないので、いちおうマウスで操作している。で","4","5","5","","タスクの順番はまだ覚えれていない気がする。","4","5","5","","今回は早かった","5","5","5","","タスクを覚えた","5","5","5","","RTAみたいになってきた","5","5","5","","","5","5","5","","","5","5","5","","このキーボードに慣れてきた。","5","5","5","","確認用紙が不要になってきた。とはいえタイムアタックのように早くやってもいいことないので、間違えないようにやる。","5","5","5","","","5","5","5","","途中で指示内容が変わると思っていたが、15回目もかわらないんだろうなと思い始めた","5","5","5","","","5","5","5","","チェックを描くところで太さ選択を忘れて書いたので、戻るで修正した。"
"2024/12/22 1:49:59 午後 GMT+9","17","男性","21","左手","右手","1.5","1.5","レポート作成","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","4","4","3","","色を抽出する機能があるのは知らなかったので面白かった。","4","4","4","","","4","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","ファイルの保存先がうまく選択できなかった。","","5","5","5","","","5","5","5","","","5","5","5","",""
"2024/12/22 4:21:31 午後 GMT+9","18","女性","21","右手","右手","0.8","4","動画鑑賞, ゲーム, 動画や音声の作成, 3Dモデリングをかじる, 研究での資料作成, サークルで使う2Dデータの作成, お絵かき(ここ半年は液タブが壊れていたため行っていない)","2","Windows","2","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","5","4","2","うっかり終了し損ねていたことにアンケート記入後に気が付きました","スポイトツールを使った際に誤って右クリックをしたことで、後に入れた文字が青くなった可能性がある？と思いました","5","3","4","","文字色はもとから青色だったことに気づきました","5","2","5","","","5","2","5","","","5","1","5","","","5","1","4","","","5","1","5","","","5","1","5","","","5","2","5","","","5","2","5","","","5","2","5","","","5","2","5","","","4","2","5","","自分が文字入力の際の手順(文字サイズ、フォント、文字列)を今まで気にせず入力していたことに気づいた　タスク内容確認用紙に書いてあることなので、正確に行うべきだったのではないかと思った","5","2","5","","今回のタスクとは関係ないのですが、8回目かどこかで他の(手順に関係ない)ツールを触ったのはペイントソフトの機能メニュー項目やボタンを記憶しようと試みたためでした。ツールバー左下のマジックワンドは知らない機能でした。","5","2","5","",""
"2024/12/23 10:44:06 午前 GMT+9","19","女性","22","右手","右手","1.2","2","大学職員とのメールやりとり、調べ物、レポート作成、アルバイトでの資料作成","3","macOS","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","1","1","2","","","2","2","3","","１回目のタスクで、花の中心から青色の取得、ではなく花びらから取得してしまっていたことに気づいた。","3","3","3","","","4","4","3","","","4","4","3","","","3","3","3","スポイトとブラシを押し間違い、青い花の中央にペイントしてしまったため戻るを使いました。","","4","4","4","","","4","4","4","","","4","4","3","","","4","4","2","最後終了するではなくツールボックスのテキストを押してしまったようですが、それは保存せず完成図のまま終了できたと思います。","","4","4","3","","","4","4","4","","","5","5","3","","","5","5","4","","","5","5","4","",""
"2024/12/23 6:05:02 午後 GMT+9","20","男性","20","左手","右手","0.5","6","授業課題、報道系サークルでの記事執筆、DTM、音楽視聴","2","macOS","8","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","5","4","3","","","5","4","4","","","5","4","4","","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","4","","","5","5","5","５つ目のステップ②でストリートスタイルを/にするところ、７回目まで大きい方の斜線を選んでいたんですが、よく見たら小さい方が見本に近い気がしたので今回から変えました。","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2025/01/03 10:49:07 午前 GMT+9","21","男性","22","右手","右手","1.0","7","動画鑑賞","3","macOS","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","4","3","","","3","3","4","","","4","4","4","","","5","4","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2025/01/04 10:50:08 午前 GMT+9","22","女性","19","右手","右手","1.5","1","課題","1","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","4","4","","","4","4","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2025/01/04 4:03:52 午後 GMT+9","23","男性","24","右手","右手","0.8","6","勉強、動画鑑賞","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","3","2","2","","あってるかわからず不安を覚えた","3","2","3","","","3","3","2","","少し慣れた気がする","3","3","3","","","3","3","3","４回目までテキストの入力位置を勘違いしていた","","3","3","3","","","4","3","3","","","4","4","3","","だいぶ記憶出来てきたと感じるがまだ不安は残る","4","4","4","","","4","4","3","","まだ正確に把握しきれていないと感じた","3","4","3","","休憩をはさんでタスクの記憶が少し薄れた","4","4","4","","やるうちに記憶を取り戻せた","4","4","4","","","5","5","4","","記憶できたと感じる","5","5","5","",""
"2025/01/06 12:48:39 午後 GMT+9","24","男性","24","右手","右手","0.8","6","動画鑑賞、研究（プログラミング、資料作成）","3","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","4","4","","","2","4","4","","","3","5","5","","","4","5","5","","","4","5","5","","","4","5","4","","","4","5","5","","","4","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2025/01/07 10:56:39 午前 GMT+9","25","女性","22","左手","右手","0.8","11","授業の予復習、課題、動画鑑賞","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","4","4","4","","コピーする前の花をドラッグする方法に迷った。","4","4","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","最後間違えてflower_6と保存してしまったかもしれない。","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2025/01/07 1:52:12 午後 GMT+9","26","男性","25","右手","右手","1.0","8","動画鑑賞、研究、文書作成","2","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","5","3","4","","","5","4","4","","","5","4","3","","","5","3","4","","","5","4","5","","","5","3","5","","","5","3","5","","","5","3","5","","","5","3","5","","","5","3","5","","","5","3","4","","","5","3","4","","","5","4","5","","","5","3","4","","","5","3","5","",""
"2025/01/08 10:48:51 午前 GMT+9","27","女性","21","右手","右手","1.5","1","資料作成など","1","Windows","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","3","4","3","","","4","4","4","","","4","4","4","","","5","5","4","","","5","5","4","","","5","5","4","","","5","5","4","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","","","5","5","5","",""
"2025/01/09 2:00:47 午後 GMT+9","28","女性","26","右手","右手","1.0","2","研究、調べ物","2","macOS","0","コピー（Ctrl + C）;貼り付け（Ctrl + V）;戻る（Ctrl + Z）;進む（Ctrl + Y）","ペイントソフトの起動_完了","ツールの使用_完了","戻る 進む_完了","名前を付けて保存_完了","ペイントソフトを終了する_完了","2","2","3","","","2","2","3","","","2","2","3","","","2","2","3","","","2","2","3","","","2","3","3","","","2","3","3","","","3","3","3","","","3","3","3","","","3","3","3","","","3","3","3","","","3","4","3","","","3","4","3","","","3","4","3","","","3","4","3","",""